Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
0-63639,176,51,87,81,191,15,17763,6579,25485,21765,394,83,229,148,322,169,162
63639-90000,506,104,204,276,514,47,32,62,48,69,1134,239,721,393,1041,448,490
90000-12727,458,109,190,258,548,38,1,28,1,2,1103,242,694,439,1034,413,516
12727-14230,370,90,153,210,382,27,17,37,29,27,792,172,505,339,729,270,322
14230-18000,998,224,401,502,1003,78,18,86,37,33,2216,421,1436,876,2041,857,975
18000-19091,637,128,275,322,629,47,8,93,13,15,1367,272,833,515,1333,627,623
19091-20124,522,116,203,251,519,56,22,42,34,35,1115,247,701,421,984,423,465
20124-22945,939,202,350,503,888,79,8,63,10,19,2057,413,1268,795,1883,733,869
22945-25455,910,227,353,455,828,65,3,59,11,8,1865,350,1259,818,1777,687,903
25455-26239,555,124,227,332,530,31,22,42,33,33,1305,267,783,474,1147,481,544
26239-27000,900,245,357,491,787,55,6,50,6,14,1842,343,1176,830,1854,628,867
27000-28460,431,85,161,238,383,26,0,17,0,0,906,182,575,370,869,312,469
28460-31819,649,137,235,357,595,46,3,42,9,7,1406,254,907,656,1286,412,655
31819-32450,1298,289,442,665,1166,76,23,68,34,38,2533,476,1677,1075,2489,892,1205
32450-34271,781,181,301,423,739,64,3,29,7,8,1755,334,1135,764,1583,571,787
34271-36000,850,191,308,468,824,65,7,32,10,12,1811,346,1128,817,1696,611,867
36000-37108,505,93,156,256,413,32,0,22,0,3,1013,220,631,446,958,361,497
37108-38183,727,175,271,397,670,67,3,38,6,5,1529,277,1060,724,1450,499,701
38183-38710,285,65,112,157,248,28,20,14,21,23,593,109,425,255,539,190,246
38710-40249,789,166,308,402,605,57,2,25,3,2,1508,304,1076,711,1470,477,753
40249-40749,907,205,357,504,788,75,2,24,7,4,1882,332,1219,813,1834,619,867
40749-42690,684,131,248,402,602,54,2,22,7,5,1288,235,956,568,1324,390,700
42690-44547,641,176,201,365,538,53,3,26,6,11,1314,237,915,595,1235,425,606
44547-45000,354,86,143,190,291,35,12,16,27,27,705,142,503,356,765,252,366
45000-45891,976,195,367,496,791,72,2,28,3,5,1846,376,1405,931,1850,609,913
45891-46330,528,106,167,275,417,38,5,23,1,4,996,162,716,479,978,293,528
46330-48466,629,147,209,337,474,41,2,20,1,5,1116,200,823,578,1175,303,579
48466-49704,639,117,226,341,549,37,3,22,8,11,1182,196,861,623,1244,372,583
49704-50911,697,160,221,357,558,45,1,23,2,2,1208,223,873,569,1254,388,622
50911-51307,374,90,129,187,303,32,15,10,22,28,670,134,476,342,703,215,351
51307-52478,1308,258,411,669,1026,88,6,50,2,1,2363,414,1712,1155,2362,736,1183
52478-54000,508,112,139,241,381,37,3,8,2,7,874,136,678,476,888,255,422
54000-54373,333,78,108,168,283,18,0,11,3,1,588,108,470,312,596,202,329
54373-54744,611,121,168,314,465,37,8,12,7,6,1097,198,778,556,1062,306,526
54744-56921,557,122,164,268,437,34,3,14,2,2,964,162,747,539,1029,310,481
56921-57275,623,132,196,319,541,35,4,14,14,9,1173,211,804,559,1186,318,620
57275-57628,269,73,70,134,173,22,3,6,11,19,444,74,324,231,433,118,209
57628-58672,584,132,170,310,411,33,0,12,0,0,924,153,681,506,973,263,509
58672-60037,1057,232,320,587,799,73,2,36,5,1,1862,342,1314,1014,1853,547,1013
60037-60373,497,130,171,270,370,30,3,11,4,1,762,145,632,447,878,232,461
60373-62677,542,118,160,269,388,32,4,10,2,0,851,135,640,472,933,269,481
62677-63000,495,99,130,227,320,27,7,10,5,13,716,127,592,393,764,206,415
63000-63601,220,56,78,117,171,17,1,8,0,2,413,77,326,215,443,106,237
63601-63957,637,145,162,294,472,32,7,9,6,11,985,166,814,561,1016,268,534
63957-64899,454,129,149,230,305,32,0,7,0,0,723,134,671,427,868,213,414
64899-65521,621,145,142,297,379,28,0,8,0,1,861,163,662,513,965,252,519
65521-66441,466,112,138,217,347,28,4,8,4,3,755,109,577,373,746,228,389
66441-67649,430,104,130,225,315,39,0,7,3,1,677,115,556,350,788,191,389
67649-68542,462,113,151,227,312,27,2,7,3,2,752,134,605,381,787,246,397
68542-68836,366,93,96,166,270,22,2,3,8,6,586,83,504,304,654,158,340
68836-70003,487,100,138,193,342,23,1,12,1,1,745,129,594,360,780,206,429
70003-70292,246,47,72,115,150,19,3,6,4,9,343,61,298,172,376,108,197
70292-71151,428,94,119,222,282,24,4,3,1,2,613,93,520,358,706,181,342
71151-72000,808,196,207,417,572,41,7,17,10,10,1212,218,1005,664,1347,351,649
72000-72560,211,52,53,114,185,13,0,1,0,0,373,59,298,181,363,97,198
72560-74215,765,192,199,374,561,52,0,15,4,1,1189,179,1032,638,1341,370,745
74215-74488,431,119,113,227,293,31,3,11,0,2,658,105,561,376,756,179,399
74488-76367,403,83,139,199,289,28,3,8,3,4,631,98,521,344,689,165,368
76367-76632,199,42,51,111,137,15,0,5,2,2,279,43,240,171,350,65,181
76632-76896,691,181,210,330,505,36,1,9,6,2,972,169,843,550,1164,301,615
76896-77420,347,101,91,166,239,15,3,1,6,10,527,96,444,333,553,162,318
77420-77682,319,70,90,165,229,16,0,5,0,0,484,70,368,304,518,122,270
77682-78717,293,58,84,162,232,21,1,7,3,2,483,93,409,266,552,120,302
78717-79740,343,83,96,161,231,18,0,3,3,0,507,88,433,277,566,144,290
79740-80498,253,61,91,161,220,18,3,3,1,5,467,71,413,268,501,130,259
80498-81000,370,86,107,186,253,29,0,4,1,6,486,78,501,336,597,163,327
81000-81498,162,27,43,67,115,10,2,1,0,1,232,40,228,143,242,60,124
81498-82731,237,57,74,161,190,13,1,4,2,4,433,77,378,243,394,117,246
82731-82975,433,108,95,200,315,28,2,6,4,11,622,102,589,371,699,168,383
82975-83704,611,153,139,278,439,25,3,6,3,1,841,144,792,539,998,261,484
83704-84905,356,84,83,171,206,18,1,0,1,0,464,92,410,297,576,152,269
84905-85381,292,68,70,151,195,20,0,2,0,0,375,68,366,233,498,102,269
85381-85618,239,72,60,129,181,12,6,4,3,6,317,48,344,224,398,105,217
85618-86559,275,64,81,149,224,20,2,4,3,4,409,83,398,262,479,126,268
86559-88411,524,135,123,283,383,25,2,4,4,1,728,125,727,457,863,252,466
88411-88639,259,55,63,120,181,17,2,3,6,5,367,69,348,205,419,104,214
88639-89095,283,66,59,126,174,9,3,1,1,5,364,58,356,259,435,101,219
89095-89322,152,35,36,60,88,5,0,2,2,1,179,22,135,104,181,48,100
89322-90001,293,55,65,127,188,18,2,2,0,3,311,62,354,240,429,98,258
90001-90448,414,103,100,190,280,13,3,8,1,4,531,96,533,355,697,163,338
90448-91118,222,57,62,113,172,13,1,6,2,2,349,63,343,210,390,112,222
91118-91782,521,123,99,281,336,34,5,8,6,6,680,111,646,455,839,219,418
91782-92660,223,76,61,139,183,7,1,3,3,1,350,55,315,231,427,121,227
92660-93962,206,58,51,114,146,10,0,0,0,0,313,51,296,211,338,79,187
93962-94607,209,53,49,116,163,7,4,1,4,2,294,56,275,185,355,87,185
94607-95459,441,94,111,211,259,22,2,3,5,7,602,123,580,402,665,193,378
95459-95671,310,78,54,162,203,16,3,2,0,3,430,78,395,264,502,120,253
95671-96304,213,60,50,130,155,10,0,2,0,0,243,54,292,206,306,70,170
96304-96933,223,54,46,111,133,11,0,0,0,0,244,45,289,170,306,77,178
96933-97141,194,67,57,113,166,14,0,2,4,3,283,51,292,189,370,80,224
97141-97349,185,51,43,88,132,11,1,0,0,3,253,47,263,137,292,76,160
97349-98795,225,52,42,103,130,10,0,3,0,0,257,55,288,187,352,66,178
98795-99000,212,76,54,109,139,9,0,2,0,1,265,63,269,179,359,76,200
99000-99408,98,28,28,58,56,4,2,2,0,3,160,33,150,67,175,38,85
99408-99611,165,43,34,79,120,8,1,3,3,1,259,50,225,138,284,67,145
99611-100600,193,48,38,86,127,11,4,3,4,8,250,43,259,153,263,68,157
100600-101800,345,88,81,180,240,21,0,2,0,0,526,87,490,298,589,179,336
101800-102000,112,30,19,50,56,8,1,1,0,1,104,30,120,77,171,42,77
102000-102600,203,53,30,81,119,6,0,4,1,0,243,40,246,179,285,77,155
102600-102800,364,86,64,168,224,21,2,1,0,1,436,69,458,282,559,142,276
102800-103500,181,54,24,101,125,4,1,1,1,3,212,31,228,169,250,74,136
103500-104300,347,76,89,170,245,12,1,4,5,2,439,78,467,294,574,141,310
104300-104900,173,43,42,82,95,10,4,5,0,2,252,41,232,132,284,79,166
104900-105300,210,49,32,75,121,9,0,1,0,0,229,51,242,164,286,60,160
105300-105900,158,40,35,82,92,5,2,0,6,8,230,39,248,120,311,71,134
105900-106600,149,43,34,91,105,7,0,1,1,0,206,39,225,128,301,55,136
106600-108000,145,29,28,85,105,10,0,0,0,1,174,40,226,148,232,53,172
108000-108100,57,17,20,46,47,4,0,0,2,1,108,24,98,54,124,29,66
108100-108300,264,60,46,117,150,15,2,4,7,4,313,32,338,213,346,86,210
108300-108700,318,69,53,148,189,15,2,3,2,2,371,79,438,240,443,107,258
108700-108900,135,45,36,66,91,1,0,1,1,0,191,23,192,124,228,53,124
108900-109400,191,43,27,88,111,10,0,0,1,1,198,36,219,143,232,60,134
109400-109800,138,37,15,72,105,8,0,0,3,2,193,41,216,138,244,63,126
109800-111100,161,33,25,74,78,11,0,0,1,0,175,41,185,124,212,50,103
111100-111300,265,74,47,127,175,6,2,2,0,3,348,58,385,219,426,113,243
111300-112500,121,40,26,57,96,3,0,1,0,1,166,32,197,86,254,51,135
112500-112700,105,35,30,63,90,4,1,3,3,0,157,37,190,101,204,52,99
112700-113300,163,33,21,68,98,5,1,2,0,0,157,26,187,99,204,49,120
113300-113800,115,31,27,51,73,4,0,3,0,0,150,30,192,87,199,56,100
113800-114500,141,41,41,70,91,4,3,3,4,6,150,21,209,98,191,52,117
114500-114700,61,18,8,30,42,6,0,0,0,0,68,13,74,48,92,12,49
114700-115200,425,93,72,168,275,23,0,3,0,1,451,85,571,325,522,153,345
115200-116100,142,38,24,73,86,8,0,4,1,2,178,35,169,106,218,44,109
116100-116800,118,36,27,69,82,5,0,0,0,1,145,35,182,92,162,53,112
116800-117000,109,26,21,62,66,10,0,1,1,2,161,23,164,92,170,60,94
117000-117300,180,48,30,85,135,3,1,0,1,2,205,39,261,162,279,79,147
117300-118300,217,52,32,107,155,12,1,0,2,1,299,58,300,202,372,83,171
118300-118800,105,34,15,46,92,3,1,2,1,0,139,30,152,81,186,41,111
118800-119500,136,21,18,70,77,3,0,0,0,3,137,28,151,87,195,34,105
119500-120000,97,22,33,48,78,4,2,0,3,4,127,16,146,89,160,43,95
120000-120700,91,35,19,58,79,2,0,1,0,0,130,25,158,89,160,34,85
120700-120900,108,33,21,61,78,5,0,2,0,1,121,35,171,98,143,44,79
120900-121000,60,16,10,26,36,2,0,0,1,3,69,21,66,42,75,20,44
121000-121500,113,23,19,61,41,5,1,1,0,1,131,19,140,98,150,34,108
121500-122200,190,67,44,85,151,10,3,4,2,2,228,52,291,176,321,81,155
122200-122400,79,22,20,39,77,3,0,0,2,2,139,28,164,76,156,42,86
122400-122900,197,47,50,92,122,5,2,1,4,3,241,47,273,162,339,67,163
122900-123500,99,24,19,52,70,7,2,0,0,2,116,25,146,84,161,31,75
123500-125000,209,62,36,107,140,10,0,2,0,1,240,38,290,156,307,79,162
125000-125300,93,31,7,52,75,10,1,0,0,0,110,17,130,92,146,36,88
125300-125500,95,22,24,45,66,1,3,1,1,4,132,8,141,65,108,34,73
125500-126000,95,26,13,49,58,4,0,1,0,0,108,28,137,73,162,28,92
126000-126300,44,12,7,24,30,0,0,2,2,1,44,12,82,43,71,21,37
126300-126800,82,25,17,43,81,1,1,7,3,0,100,31,129,77,142,36,72
126800-127200,86,21,13,45,63,3,0,0,0,0,93,17,140,64,119,35,83
127200-127400,131,32,26,54,94,8,0,2,0,0,163,40,180,104,212,47,112
127400-127900,93,19,14,53,50,6,1,0,3,0,121,24,127,66,123,33,87
127900-128000,82,27,12,37,59,5,0,1,0,0,94,21,125,86,121,33,42
128000-128700,75,27,18,36,67,6,0,2,5,7,109,21,119,65,131,38,61
128700-128800,116,28,15,43,56,1,0,0,2,1,96,18,126,79,117,28,58
128800-129800,141,49,29,69,121,6,0,1,0,0,204,36,255,143,251,55,142
129800-130500,86,26,14,45,48,5,1,0,0,0,99,19,128,74,135,20,52
130500-131000,66,18,11,40,60,2,0,6,2,0,90,20,119,40,114,32,54
131000-131100,76,18,19,46,50,5,1,1,0,1,82,18,110,69,109,33,54
131100-132400,224,70,40,94,152,9,2,3,0,5,266,61,324,187,351,101,166
132400-132800,64,20,21,38,54,4,0,3,0,1,73,20,108,59,121,37,61
132800-133600,82,21,11,46,49,1,0,1,0,0,87,17,108,58,113,23,66
133600-133700,45,10,1,23,21,3,0,0,0,1,44,12,48,30,41,13,25
133700-134200,149,35,25,73,74,7,3,0,2,3,181,38,195,100,194,53,118
134200-134800,141,46,21,56,103,7,1,2,0,1,180,42,221,120,203,61,121
134800-135000,62,28,22,32,41,2,0,0,0,1,71,10,95,65,103,26,67
135000-135300,93,26,17,54,72,0,0,2,0,0,108,28,162,77,166,44,85
135300-136000,39,22,13,36,43,3,1,0,0,5,81,19,97,42,111,34,43
136000-136100,68,16,12,32,49,3,0,0,0,0,86,21,86,57,102,25,44
136100-136600,42,26,13,28,54,4,2,0,1,0,73,19,107,49,114,31,53
136600-137000,60,8,13,23,47,4,0,0,0,1,72,14,87,41,73,23,43
137000-137300,61,14,19,30,41,3,0,0,0,0,71,16,78,57,104,24,55
137300-137600,84,20,8,32,49,8,0,0,1,0,82,19,94,60,96,20,47
137600-138900,56,16,12,27,54,1,0,0,0,0,78,12,79,44,87,46,54
138900-139500,71,15,8,38,45,2,0,0,0,0,68,18,91,65,103,31,60
139500-139700,95,27,29,46,75,2,1,5,4,6,136,32,166,88,185,48,89
139700-140000,53,12,13,36,51,3,0,0,0,1,72,17,93,51,85,26,54
140000-140100,28,14,6,20,32,1,0,0,0,1,33,7,45,22,51,10,25
140100-140500,121,26,21,65,91,6,1,0,6,4,153,35,173,74,178,43,106
140500-140800,61,16,16,35,48,3,1,0,0,1,74,12,97,47,87,23,57
140800-141300,61,20,13,33,30,1,0,1,0,2,63,13,72,42,88,21,40
141300-142300,129,34,27,67,92,7,1,0,0,2,136,24,142,80,171,45,115
142300-143000,114,32,20,54,84,3,0,3,1,4,130,20,165,83,151,33,88
143000-143500,99,28,15,46,73,4,0,1,1,0,118,34,149,70,170,38,104
143500-144000,62,14,6,24,45,2,0,0,0,0,74,8,92,37,61,16,48
144000-144200,22,10,10,14,25,1,0,0,0,3,28,7,39,10,54,13,19
144200-145100,44,15,10,27,56,1,0,5,1,2,57,20,72,49,66,28,32
145100-145200,101,35,18,61,81,2,0,2,2,0,127,33,149,81,148,39,84
145200-145300,46,17,7,24,37,2,0,0,0,1,67,14,76,36,80,18,42
145300-146300,45,14,7,27,42,1,0,1,0,3,65,24,80,50,65,14,40
146300-146500,28,4,2,10,18,1,0,0,1,0,25,5,31,18,31,6,22
146500-146900,104,26,23,54,72,5,0,1,1,0,109,26,140,61,144,43,93
146900-147600,117,28,13,45,55,2,1,0,3,1,108,18,141,65,136,38,65
147600-148000,57,5,6,20,40,2,0,0,0,0,60,9,79,41,68,10,48
148000-148400,42,15,13,24,40,3,0,1,1,2,49,19,78,26,70,12,42
148400-148500,27,9,4,30,41,1,0,0,1,0,39,8,76,41,69,17,36
148500-148900,94,18,23,34,68,7,2,3,1,1,110,20,126,68,125,37,75
148900-149100,41,15,5,22,27,2,1,1,0,0,53,11,53,27,57,12,46
